idFrame,Xnose1,Ynose1,Xnose2,Ynose2,Xneck1,Yneck1,Xneck2,Yneck2,XRshoulder1,YRshoulder1,XRshoulder2,YRshoulder2,XRelbow1,YRelbow1,XRelbow2,YRelbow2,XRwrist1,YRwrist1,XRwrist2,YRwrist2,XLShoulder1,YLShoulder1,XLShoulder2,YLShoulder2,XLelbow1,YLelbow1,XLelbow2,YLelbow2,XLwrist1,YLwrist1,XLwrist2,YLwrist2,XRhip1,YRhip1,XRhip2,YRhip2,XRknee1,YRknee1,XRknee2,YRknee2,XRankle1,YRankle1,XRankle2,YRankle2,XLhip1,YLhip1,XLhip2,YLhip2,XLknee1,YLknee1,XLknee2,YLknee2,XLankle1,YLankle1,XLankle2,YLankle2,XReye1,YReye1,XReye2,YReye2,XLeye1,YLeye1,XLeye2,YLeye2,XRear1,YRear1,XRear2,YRear2,XLear1,YLear1,XLear2,YLear2,DistNeckHip1,DistNeckHip2,DistNoseLWrist1,DistNoseRWrist1,DistNoseLKnee1,DistNoseRKnee1,DistLHipLWrist1,DistLHipRWrist1,DistRHipLWrist1,DistRHipRWrist1,DistLHipLKnee1,DistLHipRKnee1,DistRHipLKnee1,DistRHipRKnee1,DistNoseLWrist2,DistNoseRWrist2,DistNoseLKnee2,DistNoseRKnee2,DistLHipLWrist2,DistLHipRWrist2,DistRHipLWrist2,DistRHipRWrist2,DistLHipLKnee2,DistLHipRKnee2,DistRHipLKnee2,DistRHipRKnee2,Violence
0,120,64,0,0,136,64,0,0,152,56,0,0,0,0,0,0,0,0,0,0,0,0,136,64,0,0,152,88,0,0,0,0,168,96,0,0,184,120,0,0,208,144,0,0,160,104,0,0,176,128,0,0,208,144,0,0,0,0,0,0,0,0,128,64,0,0,0,0,0,0,136,48,46.64761516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,80,96,128,88,88,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,128,160,112,96,152,168,112,104,184,0,0,104,128,152,120,96,152,176,144,96,184,200,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,0,73.75635566,65.96969001,73.75635566,65.96969001,0,0,0,0,0,0,0,0,64.49806199,64.49806199,75.47184906,75.47184906,0
29,0,0,0,0,72,96,160,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,128,176,112,96,152,0,0,88,184,0,0,88,128,176,112,96,152,144,152,88,184,136,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.77708764,22.627417,0,0,0,0,0,0,0,0,60.92618485,0,53.66563146,0,0,0,0,0,0,0,0,0,89.4427191,89.4427191,89.4427191,89.4427191,0
82,0,0,200,72,0,0,216,80,0,0,0,0,0,0,0,0,0,0,0,0,200,56,0,0,208,80,0,0,0,0,0,0,0,0,208,120,0,0,208,144,0,0,216,184,0,0,216,112,0,0,0,0,0,0,0,0,0,0,0,0,176,32,208,64,0,0,0,0,192,32,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,176,40,208,88,200,56,0,0,0,0,0,0,0,0,0,0,0,0,200,96,200,56,0,0,216,80,0,0,200,80,208,104,0,0,200,144,0,0,216,176,0,0,208,104,0,0,200,144,0,0,216,176,0,0,0,0,0,0,0,0,176,32,0,0,0,0,0,0,184,32,16,0,0,0,0,0,25.29822128,0,25.29822128,0,0,0,0,0,0,0,106.7333125,106.7333125,0,0,0,0,0,0,0,0,0
85,0,0,176,40,0,0,200,56,0,0,0,0,0,0,0,0,0,0,0,0,200,56,0,0,208,80,0,0,192,80,0,0,0,0,208,96,0,0,200,144,0,0,216,176,0,0,208,96,0,0,0,0,0,0,0,0,0,0,0,0,176,40,0,0,0,0,0,0,184,32,0,0,0,40.79215611,0,0,0,0,0,0,0,0,0,0,0,0,43.08131846,0,0,0,22.627417,0,22.627417,0,0,0,0,0,0
86,0,0,0,0,0,0,200,56,0,0,0,0,0,0,0,0,0,0,0,0,200,56,0,0,208,80,0,0,184,72,0,0,0,0,200,96,0,0,200,144,0,0,216,184,0,0,200,104,0,0,200,144,0,0,216,176,0,0,0,0,176,40,0,0,0,0,0,0,184,40,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.77708764,0,28.8444102,0,0,0,0,0,0
90,144,88,32,120,160,96,48,128,152,96,32,128,136,112,16,144,120,112,0,0,176,96,64,128,200,104,88,128,208,120,0,0,144,128,72,152,128,136,0,0,0,0,0,0,152,136,80,144,120,136,0,0,152,184,0,0,144,80,0,0,152,80,40,120,0,0,0,0,160,80,48,112,40.79215611,35.77708764,0,0,0,0,0,0,0,0,0,0,0,0,176,88.36288814,89.4427191,97.32420048,130.2305648,51.2249939,139.7139936,62.48199741,40.79215611,48.66210024,50.59644256,58.24087911,0
91,144,88,32,120,160,96,48,128,152,96,32,128,136,112,16,144,120,112,0,0,176,96,64,128,200,104,88,128,208,120,0,0,144,128,72,152,128,136,0,0,0,0,0,0,152,136,80,144,120,136,0,0,152,184,0,0,144,80,0,0,152,80,40,120,0,0,0,0,160,80,48,112,40.79215611,35.77708764,0,0,0,0,0,0,0,0,0,0,0,0,176,88.36288814,89.4427191,97.32420048,130.2305648,51.2249939,139.7139936,62.48199741,40.79215611,48.66210024,50.59644256,58.24087911,0
92,40,128,144,88,56,128,160,96,40,128,144,96,24,144,136,112,0,0,120,120,64,128,168,96,88,128,200,104,0,0,208,120,0,0,144,128,0,0,136,168,0,0,160,184,88,160,152,136,0,0,136,168,0,0,160,184,40,120,144,80,40,120,144,80,0,0,0,0,48,120,160,88,45.254834,40.79215611,168.1903683,80.39900497,104,104,126.4911064,51.2249939,0,0,48.66210024,48.66210024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,40,128,144,88,56,128,160,96,40,128,144,96,24,144,136,112,0,0,120,120,64,128,168,96,64,144,200,104,48,144,208,120,0,0,144,128,0,0,136,168,0,0,160,184,88,160,152,136,0,0,136,168,0,0,160,184,40,120,144,80,40,120,144,80,0,0,0,0,48,120,160,88,45.254834,40.79215611,168.1903683,80.39900497,104,104,126.4911064,51.2249939,0,0,48.66210024,48.66210024,0,0,111.1395519,0,0,0,104.3072385,0,97.32420048,0,0,0,0,0,0
94,40,128,144,88,56,128,160,96,40,128,144,96,24,144,136,112,0,0,120,120,64,128,168,96,88,128,200,104,0,0,208,120,0,0,144,128,0,0,136,168,0,0,160,184,88,160,152,136,0,0,136,168,0,0,160,184,40,120,144,80,40,120,144,80,0,0,0,0,48,120,160,88,45.254834,40.79215611,168.1903683,80.39900497,104,104,126.4911064,51.2249939,0,0,48.66210024,48.66210024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,136,88,48,120,152,104,56,128,168,104,48,128,192,112,32,144,0,0,0,0,144,104,72,128,128,120,96,128,112,120,0,0,144,144,80,152,0,0,0,0,0,0,0,0,144,136,88,152,120,160,0,0,120,176,0,0,0,0,0,0,136,88,48,120,0,0,0,0,144,88,56,112,32.984845,40,0,0,0,0,0,0,0,0,0,0,0,0,64,0,82.36504113,0,40,0,45.254834,0,32.984845,0,40.79215611,0,0
99,136,88,48,120,152,104,56,128,168,104,48,128,192,112,32,144,0,0,0,0,144,104,72,128,128,120,96,128,112,120,0,0,144,152,80,152,0,0,0,0,0,0,0,0,144,136,88,152,120,160,0,0,0,0,0,0,0,0,0,0,136,88,48,120,0,0,0,0,144,88,56,112,32.984845,40,0,0,0,0,0,0,0,0,0,0,0,0,64,0,82.36504113,0,40,0,45.254834,0,32.984845,0,40.79215611,0,0
100,48,120,136,88,56,128,152,104,48,128,168,104,32,144,192,112,0,0,0,0,72,128,144,104,96,128,128,120,0,0,112,120,80,152,144,144,0,0,0,0,0,0,0,0,88,152,144,136,0,0,120,160,0,0,0,0,0,0,0,0,48,120,136,88,0,0,0,0,56,112,144,88,40,32.984845,64,0,82.36504113,0,40,0,45.254834,0,32.984845,0,40.79215611,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,48,120,136,88,64,128,152,104,48,128,168,104,32,144,184,112,0,0,0,0,72,128,144,104,96,128,144,144,0,0,0,0,80,152,144,160,0,0,0,0,0,0,0,0,88,152,144,144,0,0,0,0,0,0,0,0,0,0,0,0,48,120,136,88,0,0,0,0,56,112,144,88,33.9411255,40.79215611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,48,120,136,88,64,128,152,104,48,128,168,104,32,144,184,112,0,0,0,0,72,128,144,104,96,128,144,144,0,0,0,0,80,152,144,160,0,0,0,0,0,0,0,0,88,160,144,144,0,0,0,0,0,0,0,0,0,0,0,0,48,120,136,88,0,0,0,0,56,112,144,88,40,40.79215611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,48,120,136,88,64,128,152,104,48,128,168,104,32,144,184,112,0,0,0,0,72,128,144,104,96,128,144,144,0,0,0,0,80,152,144,160,0,0,0,0,0,0,0,0,88,152,144,144,0,0,0,0,0,0,0,0,0,0,0,0,48,120,136,88,0,0,0,0,56,112,144,88,33.9411255,40.79215611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,48,120,128,96,64,128,152,104,48,128,144,104,32,144,128,120,0,0,112,120,80,128,160,104,72,144,184,112,48,144,192,128,0,0,144,136,0,0,120,144,0,0,0,0,120,160,144,144,0,0,128,144,0,0,0,0,0,0,128,88,48,120,128,88,0,0,0,0,64,112,144,88,64.49806199,40.79215611,144.222051,64,83.52245207,75.89466384,78.79086241,40.79215611,0,0,17.88854382,16,0,0,93.29523032,0,0,0,96,0,96.33275663,0,0,0,0,0,0
105,48,120,128,96,64,128,152,104,48,128,144,104,32,144,128,120,0,0,112,120,80,128,160,104,72,144,184,112,48,144,192,128,0,0,144,136,0,0,120,144,0,0,0,0,120,160,144,144,0,0,128,144,0,0,0,0,0,0,128,88,48,120,128,88,0,0,0,0,64,112,144,88,64.49806199,40.79215611,144.222051,64,83.52245207,75.89466384,78.79086241,40.79215611,0,0,17.88854382,16,0,0,93.29523032,0,0,0,96,0,96.33275663,0,0,0,0,0,0
106,48,120,128,96,64,128,152,104,48,128,144,104,32,144,128,120,0,0,112,120,80,128,160,104,96,128,184,112,0,0,192,128,56,152,144,136,0,0,120,144,0,0,0,0,120,160,144,144,0,0,128,144,0,0,0,0,0,0,128,88,48,120,128,88,0,0,0,0,64,112,144,88,64.49806199,40.79215611,144.222051,64,83.52245207,75.89466384,78.79086241,40.79215611,138.101412,64.49806199,17.88854382,16,72.44308111,64.49806199,0,0,0,0,0,0,0,0,0,0,0,0,0
107,48,120,128,96,64,128,152,104,56,128,144,104,32,144,128,120,0,0,112,120,80,120,144,104,72,144,128,120,48,144,112,120,0,0,144,136,0,0,0,0,0,0,0,0,104,144,144,144,0,0,120,152,0,0,120,176,0,0,0,0,56,120,128,88,0,0,0,0,64,112,144,88,43.08131846,40.79215611,64,64,78.79086241,0,25.29822128,25.29822128,0,0,17.88854382,0,0,0,93.29523032,0,0,0,96,0,96.33275663,0,0,0,0,0,0
108,48,120,128,96,64,128,152,104,56,128,144,104,32,144,0,0,0,0,0,0,80,120,152,104,72,144,128,120,48,136,112,120,0,0,144,136,0,0,0,0,0,0,0,0,104,136,144,144,0,0,120,152,0,0,120,176,0,0,0,0,56,120,128,88,0,0,0,0,64,112,144,88,40.79215611,40.79215611,64,0,78.79086241,0,17.88854382,0,0,0,22.627417,0,0,0,89.4427191,0,0,0,96.33275663,0,96,0,0,0,0,0,0
109,56,120,128,96,64,128,152,104,56,128,0,0,40,144,0,0,0,0,0,0,80,120,144,104,72,144,184,112,56,144,0,0,0,0,144,136,0,0,128,144,0,0,0,0,104,152,152,136,0,0,120,144,0,0,128,168,0,0,0,0,56,120,128,88,0,0,0,0,64,112,136,88,46.64761516,32,0,0,68.35202996,75.89466384,0,0,0,0,17.88854382,25.29822128,0,0,86.53323061,0,0,0,96.33275663,0,88.36288814,0,0,0,0,0,0
